precinct,DEM,REP,TOT
100,1054,311,1419
102,592,267,889
104,655,306,993
106,792,281,1110
108,903,257,1218
109,523,174,729
110,490,167,694
112,97,44,145
113,529,308,873
120,687,262,990
125,712,230,980
130,645,190,880
135,350,139,509
147,569,421,1032
150,690,297,1037
153,665,472,1193
160,862,401,1328
170,461,218,723
171,393,195,618
173,558,237,826
175,545,379,963
177,264,104,391
180,427,181,635
185,503,266,807
190,430,182,654
195,549,223,797
200,591,223,861
220,633,385,1072
225,766,418,1219
240,693,465,1184
245,605,488,1136
250,692,451,1206
255,602,440,1083
257,760,418,1236
260,485,373,920
290,517,403,955
294,674,452,1173
296,497,271,796
298,395,259,675
320,235,161,413
325,509,359,896
327,534,540,1117
328,146,143,299
330,482,432,934
331,218,229,466
335,591,369,987
336,282,255,555
337,640,542,1238
338,590,439,1081
339,208,167,396
340,680,508,1241
350,513,403,957
360,366,259,645
365,563,405,1010
370,697,428,1174
371,196,155,360
390,586,386,1006
391,202,129,350
392,317,223,555
395,250,137,406
400,426,212,667
410,758,426,1225
415,594,382,1017
420,581,475,1096
423,703,437,1197
424,642,534,1229
425,531,401,959
426,780,534,1362
430,539,351,927
432,522,362,927
434,475,401,908
435,385,309,726
436,468,275,760
440,632,451,1120
441,740,571,1372
444,807,577,1423
445,723,583,1341
446,735,630,1411
447,536,361,915
448,760,499,1303
449,792,574,1417
450,749,497,1291
451,658,439,1144
452,614,415,1069
453,591,447,1072
455,528,442,1007
456,459,368,862
458,625,415,1077
460,740,544,1345
470,789,492,1328
479,496,384,921
480,427,499,949
481,253,252,525
483,767,703,1522
484,603,431,1071
485,309,611,942
487,317,366,716
490,400,494,931
491,43,47,91
500,693,621,1377
501,373,346,759
502,702,790,1557
503,569,559,1176
504,269,333,632
505,515,798,1358
506,375,374,778
510,281,640,953
511,18,47,67
514,35,41,80
515,510,650,1205
516,194,285,490
520,226,464,702
521,15,20,37
522,195,277,487
523,14,21,36
524,27,39,70
525,273,518,818
527,361,642,1035
528,350,886,1274
530,171,385,575
534,121,367,500
535,305,734,1068
536,217,565,802
537,115,388,519
538,126,459,592
540,414,857,1302
541,169,297,482
543,435,725,1201
544,165,327,517
545,296,571,890
550,307,497,842
553,501,373,916
554,413,753,1213
555,525,604,1164
556,306,343,674
557,336,321,676
558,192,257,473
559,3,1,6
560,616,554,1223
561,238,268,528
562,592,490,1124
563,445,433,913
564,258,326,600
565,555,464,1059
566,415,447,890
567,5,8,13
568,357,383,766
569,484,473,1001
570,406,648,1084
571,544,726,1323
572,390,565,983
573,731,642,1431
574,20,22,44
575,165,300,480
576,2,4,6
577,346,662,1049
578,43,36,80
579,18,26,45
580,263,442,736
581,279,456,771
582,94,231,332
583,348,491,883
584,441,875,1353
585,541,799,1394
586,391,578,1020
587,415,770,1227
588,319,550,909
589,258,250,535
590,414,845,1302
591,360,715,1104
592,361,588,981
593,407,729,1168
594,19,45,67
595,166,477,663
596,4,8,12
597,33,106,141
598,12,19,34
599,203,258,475
600,171,583,776
602,215,304,532
603,158,668,848
605,254,888,1175
606,41,166,214
610,393,573,1002
611,286,389,703
613,222,283,523
614,325,376,737
615,201,324,549
616,520,470,1036
617,136,280,434
618,444,658,1137
619,180,241,436
620,482,828,1360
621,194,267,478
622,335,404,776
623,187,210,418
624,181,207,398
625,567,890,1499
626,628,616,1288
627,589,712,1334
628,509,505,1068
629,564,678,1280
630,498,616,1174
631,779,329,1163
632,402,466,906
633,422,465,920
634,456,478,976
635,418,437,880
636,526,651,1222
637,438,252,714
638,488,529,1055
639,610,472,1124
640,464,485,995
641,501,307,838
642,183,238,432
643,422,437,888
644,650,319,997
645,792,505,1336
646,329,286,638
647,595,455,1089
648,441,228,693
649,622,630,1307
650,628,443,1121
651,509,396,957
652,609,421,1075
653,723,511,1293
654,602,521,1158
655,484,343,861
656,298,262,575
657,495,292,820
658,607,554,1203
659,471,301,796
660,686,461,1203
661,206,179,410
662,640,507,1188
663,615,455,1130
664,536,378,955
667,331,239,581
668,461,301,775
669,439,432,895
670,666,415,1120
671,385,228,642
672,656,409,1094
673,766,402,1214
674,579,355,963
675,548,442,1017
677,649,445,1124
678,594,317,947
679,593,316,941
680,570,367,969
681,670,457,1172
682,681,413,1135
683,589,487,1126
684,300,286,603
685,173,188,378
686,765,490,1311
687,660,588,1295
688,640,495,1174
689,359,424,833
690,695,343,1084
691,557,568,1170
692,320,320,666
693,506,439,979
694,257,152,424
695,725,564,1343
696,344,291,648
697,407,323,757
698,563,558,1168
699,568,425,1033
700,79,94,181
701,252,209,475
702,226,283,526
710,593,365,990
715,465,463,949
720,480,436,964
725,374,221,610
730,496,281,807
735,406,352,794
740,479,294,804
900,654,662,1376
903,544,694,1285
905,674,535,1268
906,232,233,479
909,327,366,725
910,266,285,566
912,489,552,1069
913,406,449,892
914,555,654,1275
915,246,337,609
917,275,487,800
920,383,515,931
925,397,545,977
930,499,576,1122
935,466,728,1226
940,463,709,1213
947,378,468,871
950,709,637,1403
951,679,397,1112
953,800,424,1286
956,304,219,546
957,170,139,320
958,174,120,305
959,13,28,43
960,610,451,1120
961,286,194,498
962,559,549,1146
963,491,325,853
964,716,552,1317
965,651,498,1190
966,695,579,1325
967,396,328,748
968,694,363,1106
969,429,258,719
985,674,539,1266
