precinct,Trump,Biden,Total
1121,76,357,457
1123,170,1747,2021
1125,400,3430,4031
1127,677,5817,6693
1231,315,3320,3767
1233,453,3029,3582
1235,806,6132,7137
1341,8,68,76
1343,242,3267,3641
1345,325,3141,3590
1349,139,1233,1425
1451,1575,3169,4901
1453,641,1772,2510
1455,394,1502,1959
1457,960,2154,3214
1561,2375,4889,7469
1563,920,2223,3239
1565,506,1375,1953
1569,787,1300,2139
1671,747,981,1791
1673,1374,2162,3683
1675,2455,3420,6067
1781,531,1596,2234
1783,299,2266,2689
1785,963,1885,2957
1787,1598,2178,3906
1891,968,1476,2560
1893,86,517,625
1895,75,364,450
1897,899,2534,3533
1899,1031,3459,4675
2122,1794,2892,4886
2234,1364,3350,4893
2238,77,101,182
2340,1895,2889,5002
2344,42,42,90
2456,2121,2574,4893
2562,2552,2825,5621
2676,3153,2878,6251
4200,400,519,944
4301,2734,2402,5343
4400,1664,1326,3111
4500,608,501,1137
4601,2844,3142,6127
4700,2057,1413,3620
4800,842,710,1612
4900,1523,1210,2843
702,1768,1962,3819
704,539,453,1031
706,577,594,1208
708,1490,1229,2818
710,767,769,1566
712,1703,925,2711
714,1593,1196,2869
716,1278,1014,2353
718,639,915,1604
720,490,1250,1800
722,407,280,703
724,321,186,535
726,1844,2646,4643
728,498,1002,1556
730,835,3024,4014
732,1155,1708,2940
734,265,315,602
736,583,452,1068
738,1161,1485,2755
740,140,313,476
742,512,731,1293
744,524,367,913
746,1975,1368,3452
748,2100,1751,3961
750,596,382,1004
752,1105,758,1912
754,794,579,1410
756,1902,1462,3461
758,1109,934,2093
760,1250,935,2248
762,554,806,1390
764,978,697,1734
766,419,341,782
