precinct,REP,DEM,OTH
2701,107,514,18
2702,160,680,31
3101,249,1108,47
3102,601,1338,54
3103,197,405,23
3301,961,11673,329
3303,635,3118,96
3304,87,515,17
3501,194,785,31
3502,719,4134,146
3602,405,5312,143
3603,871,6867,278
3604,34,130,6
3605,302,2117,48
3606,189,1648,52
3607,581,5199,134
3608,551,4469,144
3609,80,438,13
3610,426,3199,92
3611,640,4694,155
3612,536,4486,193
3801,9,53,4
3802,1241,7706,261
3803,688,5254,181
3804,150,1126,32
3805,132,683,15
3806,422,1574,60
3807,264,836,39
3808,8,121,5
4101,806,8409,217
4102,718,4131,138
4103,357,3367,75
4203,477,9728,320
4204,400,8064,185
4205,216,3975,126
4207,217,4750,138
4208,190,2989,89
4209,566,6966,256
4210,951,9237,322
4301,458,8816,203
4302,572,9981,283
4304,361,7128,155
4305,847,8800,222
4306,80,1743,33
4310,319,7915,190
4401,1030,8374,356
4402,1384,8307,331
4403,610,7232,198
4404,907,8264,286
4409,473,1613,72
4501,785,9190,189
4502,482,3948,117
4503,245,3703,120
4505,792,6596,185
4506,717,2656,92
4508,590,3550,150
4509,791,1896,77
4510,662,1647,51
4511,694,1779,75
4512,95,474,22
4601,785,8828,218
4602,263,3434,64
4604,1244,4527,200
4605,612,4359,152
4606,1372,8834,327
4607,929,2627,114
4608,277,1127,59
4701,848,1880,69
4702,254,528,28
4703,605,1474,73
4704,1315,2582,91
4705,1397,3847,159
4706,1181,2001,137
4707,493,1196,58
4708,1054,2685,109
4709,598,1304,65
4710,1285,2175,120
4801,487,925,45
4802,11,31,2
4803,1636,5421,283
4804,373,1209,64
4805,275,571,34
4806,573,958,69
4807,974,1969,105
4901,29,22,1
4902,11,12,1
4903,1814,2887,163
4904,3873,4387,297
4905,179,127,12
4906,569,828,56
4907,102,164,8
4908,962,1308,79
4909,1621,2631,190
4910,1146,2299,122
4911,1715,2519,115
5001,1515,2484,140
5002,3077,4010,277
5003,419,684,41
5004,2567,3672,214
5006,1743,1906,100
5007,1466,2090,143
5008,1586,1875,77
5009,492,580,22
5101,264,502,28
5102,1709,2857,161
5103,1013,1626,84
5104,1472,2293,130
5105,224,164,6
5106,663,963,60
5107,607,623,46
5202,1241,1327,79
5203,1194,808,60
5204,1650,1699,138
