precinct,DEM,REP,TOT
301,714,988,1762
302,1316,776,2165
303,435,410,883
304,1747,1049,2920
305,411,529,988
306,500,161,678
307,975,696,1741
308,74,82,159
309,2340,1019,3497
310,707,864,1618
311,315,353,707
312,322,445,789
313,3,1,4
314,102,189,299
315,493,437,949
316,350,451,835
317,373,597,999
318,1692,1073,2869
319,4641,2090,6997
320,1818,901,2833
321,134,199,348
322,130,155,289
323,22,3,27
324,219,280,519
325,3,0,3
326,703,1173,1936
327,2815,1581,4552
328,915,992,1984
329,5476,2364,8145
330,1006,855,1930
331,1973,634,2702
332,2092,616,2857
333,3248,941,4365
334,60,82,149
335,2712,1673,4599
336,1716,1049,2875
337,2484,1364,4030
338,2982,1909,5059
339,3030,2042,5293
340,3774,2954,7014
341,151,188,359
342,31,36,70
343,2692,1650,4530
344,2790,1345,4317
345,20,9,30
346,135,150,288
347,33,37,70
348,26,10,36
349,1840,706,2655
350,2361,854,3312
351,1907,816,2825
352,802,193,1036
353,1620,428,2137
354,2706,1099,3917
355,2288,868,3275
356,1237,582,1891
357,956,517,1519
358,2092,735,2924
359,1974,649,2712
360,2333,765,3194
361,1765,391,2239
362,2732,863,3741
363,2532,857,3513
364,3677,1061,4873
365,2360,646,3087
366,1784,395,2264
367,3322,1110,4541
368,2813,1053,4010
369,1213,570,1862
370,1492,689,2260
371,1682,569,2338
372,1392,380,1822
373,178,138,326
374,5,8,14
375,223,59,287
376,1332,570,1962
377,1715,693,2479
378,1531,331,1917
379,5092,1623,6950
380,4616,1776,6624
381,184,52,239
382,1577,665,2331
383,838,222,1093
384,2560,573,3224
385,1890,551,2519
386,2232,575,2890
387,1015,258,1303
388,702,215,941
389,4041,1584,5822
390,1534,687,2263
391,293,49,356
392,203,29,239
393,508,105,634
394,166,86,268
395,5102,1746,7092
396,642,272,947
397,1558,944,2577
398,1043,694,1800
399,1708,651,2437
400,2666,1107,3908
401,1480,344,1882
402,4849,2646,7747
403,983,420,1446
404,4107,1696,6038
405,5347,2450,8080
406,366,72,456
407,1519,431,2010
408,77,28,109
409,3352,1403,4926
410,2064,1036,3212
411,797,339,1169
412,1261,579,1904
413,994,514,1553
414,297,196,508
415,42,34,79
416,78,50,131
417,896,404,1340
418,1477,613,2164
419,1127,613,1766
420,2174,1173,3510
421,194,102,305
422,6,13,19
423,2113,984,3226
424,2669,1925,4782
425,452,550,1031
426,198,224,434
427,18,17,37
428,1146,542,1744
429,1922,991,3015
430,624,724,1397
431,635,716,1404
432,215,84,313
433,1419,813,2330
434,2451,1164,3755
435,2335,1608,4100
436,1334,888,2314
437,28,28,57
438,109,169,285
439,1352,437,1838
440,1030,476,1577
441,63,11,75
442,1603,1095,2788
443,0,10,10
444,1,0,1
445,2,0,2
